range,min_price,max_price,count,mean_price,MSE,RMSE,MAE,MAPE_%,median_abs_error,experiment
Très bas (0-1),0,1,285,0.5334630754425105,0.599502310489489,0.7742753453969001,0.6247485874449881,203.7401360590627,0.55374883044651,baseline_norm
Bas (1-5),1,5,643,2.604761775556649,0.9214637485312849,0.959929033070302,0.7597740855096299,30.959288777965515,0.6430939713802604,baseline_norm
Moyen (5-10),5,10,304,7.209742243690927,1.218184240972678,1.1037138401654107,0.8563814502553125,12.11298631247463,0.6418959500273735,baseline_norm
Élevé (10-20),10,20,213,13.540801828662257,1.25058264600911,1.1182945256099173,0.8836247968638268,6.891267682254391,0.6897494276515275,baseline_norm
Très élevé (20-50),20,50,55,26.184317092918487,1.5358790908334665,1.2393058907442773,0.9953026836598621,3.771285601635421,0.9421906800063695,baseline_norm
Très bas (0-1),0,1,285,0.5334630754425105,0.5441510411023428,0.7376659414005385,0.529986568899512,167.61693107631066,0.37777647838160777,simple_norm
Bas (1-5),1,5,643,2.604761775556649,1.1530357211039624,1.0737950088838941,0.8585477327196629,36.515979339741925,0.7341245588772747,simple_norm
Moyen (5-10),5,10,304,7.209742243690927,1.9090356953464787,1.381678578883844,1.0768880910574679,15.226889080844563,0.8430489289207084,simple_norm
Élevé (10-20),10,20,213,13.540801828662257,2.074261847354482,1.4402297897747018,1.1877546092929732,9.148798023664229,1.078061231178717,simple_norm
Très élevé (20-50),20,50,55,26.184317092918487,3.004382189351635,1.7333153750404555,1.4146991267622193,5.455264215882736,1.244735233301114,simple_norm
Très bas (0-1),0,1,285,0.5334630754425105,0.6879498731596385,0.829427436946499,0.6363185885888486,207.17522474021433,0.5012067422279135,deep_norm
Bas (1-5),1,5,643,2.604761775556649,0.9742775762382421,0.9870550016276916,0.7881048760596724,33.4327035867635,0.6831542457517834,deep_norm
Moyen (5-10),5,10,304,7.209742243690927,1.609718166368882,1.2687466911755403,0.9717190911569048,13.95692076001005,0.7468707167458408,deep_norm
Élevé (10-20),10,20,213,13.540801828662257,2.7184484930389607,1.6487718135142173,1.2840966899334745,9.690109438086704,1.0672383476652225,deep_norm
Très élevé (20-50),20,50,55,26.184317092918487,2.8033128019191116,1.6743096493537601,1.308969094927674,5.164448105913366,1.0999071279296615,deep_norm
